Business_Name,Star_Rating,Total_Review,Area,Address,Zip_Code
Nespresso Boutique,3.5,227,Alphabet City,"92 Prince St New York, NY 10012",10012
Starbucks,2,12,Alphabet City,"125 St Marks Pl New York, NY 10009",10009
Katz’s Delicatessen,4,12566,Alphabet City,"205 E Houston St New York, NY 10002",10002
Clinton Street Baking Company,4,5132,Alphabet City,"4 Clinton St New York, NY 10002",10002
LoveMama,4.5,5208,Alphabet City,"174 2nd Ave New York, NY 10003",10003
Thursday Kitchen,4.5,1364,Alphabet City,"424 E 9th St New York, NY 10009",10009
Upstate Craft Beer & Oyster Bar,4.5,1881,Alphabet City,"95 1st Ave New York, NY 10003",10003
Russ & Daughters,4.5,2272,Alphabet City,"179 E Houston St New York, NY 10002",10002
Ippudo NY,4,10017,Alphabet City,"65 4th Ave New York, NY 10003",10003
Cafe Mogador,4,1920,Alphabet City,"101 St Marks Pl New York, NY 10009",10009
PMF Pardon My French,4,990,Alphabet City,"103 Ave B New York, NY 10009",10009
Bobwhite Counter,4.5,814,Alphabet City,"94 Ave C New York, NY 10009",10009
Amazon Go,5,2,Alphabet City,"315 Park Ave S New York, NY 10010",10010
Ess-a-Bagel,4,3674,Alphabet City,"831 3rd Ave New York, NY 10022",10022
Milky ,4.5,139,Alphabet City,"992 6th Ave New York, NY 10018",10018
Sugar Sweet Sunshine Bakery,4,2073,Alphabet City,"126 Rivington St New York, NY 10002",10002
Kura,4.5,483,Alphabet City,"130 St Marks Pl New York, NY 10009",10009
Sunny and Annie’s,4.5,493,Alphabet City,"94 Ave B New York, NY 10003",10003
Artichoke Basille’s Pizza,4,3981,Alphabet City,"321 E 14th St New York, NY 10003",10003
Please Don’t Tell,4,1788,Alphabet City,"113 St Marks Pl New York, NY 10009",10009
il laboratorio del gelato,4,1316,Alphabet City,"188 Ludlow St New York, NY 10002",10002
The Wayland,4.5,497,Alphabet City,"700 E 9th St New York, NY 10009",10009
Veselka,4,2634,Alphabet City,"144 2nd Ave New York, NY 10003",10003
Sweet Chick,4,1673,Alphabet City,"178 Ludlow St New York, NY 10002",10002
Porto Rico Importing Company,4.5,464,Alphabet City,"201 Bleecker St New York, NY 10012",10012
Rahi,4.5,500,Alphabet City,"60 Greenwich Ave New York, NY 10011",10011
Ray’s Candy Store,4.5,408,Alphabet City,"113 Avenue A New York, NY 10009",10009
Death & Co,4,1517,Alphabet City,"433 E 6th St New York, NY 10009",10009
Tuome,4.5,516,Alphabet City,"536 E 5th St New York, NY 10009",10009
Butter Lane,4,1233,Alphabet City,"123 E 7th St New York, NY 10009",10009
Tompkins Square Bagels - Avenue A,4,1142,Alphabet City,"165 Avenue A New York, NY 10009",10009
Spot Dessert Bar,4,3027,Alphabet City,"13 St Marks Pl New York, NY 10003",10003
Abraço,4.5,850,Alphabet City,"81 E 7th St New York, NY 10003",10003
Westville East,4,1056,Alphabet City,"173 Ave A New York, NY 10009",10009
Brindle Room,4,1023,Alphabet City,"277 E 10th St New York, NY 10009",10009
Somtum Der,4,754,Alphabet City,"85 Ave A New York, NY 10009",10009
Blume/Hütte,4,23,Alphabet City,"1652 2nd Ave New York, NY 10028",10028
Cha-An,4,1796,Alphabet City,"230 E 9th St Fl 2 New York, NY 10003",10003
Giano Restaurant,4.5,614,Alphabet City,"126 E 7th St New York, NY 10009",10009
ChikaLicious Dessert Bar,4,1334,Alphabet City,"203 E 10th St New York, NY 10003",10003
Cornerstone Cafe,4,1118,Alphabet City,"17 Ave B New York, NY 10009",10009
Xe May Sandwich Shop,4.5,632,Alphabet City,"96 Saint Marks Pl New York, NY 10009",10009
Poco - NYC,3.5,1669,Alphabet City,"33 Avenue B New York, NY 10009",10009
Mighty Quinn’s Barbeque,4,1772,Alphabet City,"103 2nd Ave New York, NY 10003",10003
Pig and Khao,4,1657,Alphabet City,"68 Clinton St New York, NY 10002",10002
The Wild Son,4.5,507,Alphabet City,"132 First Ave New York, NY 10009",10009
Doughnut Plant,4.5,3238,Alphabet City,"379 Grand St New York, NY 10002",10002
Spicy Moon West Village,5,78,Alphabet City,"68 W 3rd St New York, NY 10012",10012
Claw Daddy’s,4,1719,Alphabet City,"185 Orchard St New York, NY 10002",10002
Supper,4,1315,Alphabet City,"156 E 2nd St New York, NY 10009",10009
